location,n_apples,tfp_wis,umass_wis,cdc_wis,tfp_vs_umass_ratio,tfp_vs_cdc_ratio,tfp_mae,umass_mae,cdc_mae
29,78,128.14797196183133,168.53148391808293,162.4641387658202,0.7603800131737962,0.7887769752471158,172.63774687202132,209.2105195962821,201.76923076923077
49,78,36.05570815905274,47.84785785766793,42.74276932466305,0.7535490568105878,0.8435510550377043,42.14902221892873,52.78553462194872,47.243589743589745
41,78,67.61830995154368,90.18299818315839,88.06241309089413,0.749789997159036,0.7678452994667663,86.33524275836307,110.68177508582049,106.03846153846153
44,78,15.890268696551633,21.251728556945064,21.100128747123605,0.7477165282801758,0.7530887079879933,21.765892510010467,26.297473240015385,26.512820512820515
27,78,91.831391070818,123.44215476681701,107.0460374646614,0.7439224569944365,0.8578681962060843,128.6419348953704,151.6280348458333,132.25641025641025
12,78,283.83884798320344,386.4737370191424,398.43690638046525,0.734432435622772,0.712380915115748,382.50279537352924,482.4963581705127,499.71794871794873
04,78,227.69262766025233,314.2367722458139,287.0693701345743,0.724589378999025,0.7931623898206662,266.0269968645967,367.82995241858964,335.06410256410254
56,78,12.058241592554968,16.70831415817196,14.466201491000987,0.7216910981205927,0.8335458067590208,16.428799156468127,21.253666392816665,18.371794871794872
06,78,409.46755615506584,575.0089145461261,547.0532594329391,0.7121064487813591,0.7484966940504277,494.33175433403466,700.6839105653845,669.3589743589744
15,78,11.490709898824074,16.495752187290535,15.660748350591717,0.6965859918577892,0.733726744187797,14.716428371804055,19.628710340923078,18.128205128205128
30,78,15.612572014470492,22.58569982871348,22.50526059746877,0.6912591654398079,0.6937298924779606,21.20829503442491,29.751576056142305,29.692307692307693
35,78,26.946142675435496,43.04232295256118,42.92531805041913,0.6260382996785284,0.6277447413152571,33.2139646628877,53.524560095935904,50.43589743589744
72,66,109.83381565778583,200.30521552180755,189.4119762024087,0.5483322806730814,0.5798673233862237,122.37085013278892,236.44382180928784,213.15151515151516
33,78,20.134572442311025,42.209325547841146,30.31530702950361,0.4770171563032908,0.6641718133586956,26.763534535629585,50.9517096623205,38.96153846153846
