edge_id,old_rfc,new_rfc,relation_type,total_citers,cites_old,cites_new,cites_both,takeover_ratio
441,3008,4035,obsoletes,124,6,119,1,0.959700
442,3090,4035,obsoletes,122,5,119,2,0.975400
443,3445,4035,obsoletes,124,8,119,3,0.959700
444,3655,4035,obsoletes,119,3,119,3,1.000000
445,3658,4035,obsoletes,121,5,119,3,0.983500
446,3755,4035,obsoletes,121,8,119,6,0.983500
447,3757,4035,obsoletes,119,7,119,7,1.000000
448,3845,4035,obsoletes,119,2,119,2,1.000000
449,3279,4055,updates,75,55,40,20,0.533300
450,1750,4086,obsoletes,297,71,228,2,0.767700
451,2793,4103,obsoletes,30,2,29,1,0.966700
452,2409,4109,updates,143,142,3,2,0.021000
453,1510,4120,obsoletes,107,49,61,3,0.570100
454,1964,4121,updates,49,32,24,7,0.489800
455,3032,4182,updates,113,113,4,4,0.035400
456,3471,4201,updates,113,104,34,25,0.300900
457,3472,4201,updates,46,14,34,2,0.739100
458,3473,4201,updates,153,138,34,19,0.222200
459,3630,4203,updates,121,97,67,43,0.553700
460,3784,4205,updates,36,29,14,7,0.388900
461,2510,4210,obsoletes,34,14,25,5,0.735300
462,2511,4211,obsoletes,34,6,29,1,0.852900
463,2893,4213,obsoletes,76,17,63,4,0.828900
464,2234,4234,obsoletes,272,170,104,2,0.382400
465,1738,4248,obsoletes,104,104,2,2,0.019200
466,2748,4261,updates,36,35,1,0,0.027800
467,1738,4266,obsoletes,104,104,1,1,0.009600
468,1771,4271,obsoletes,284,69,220,5,0.774600
469,2486,4282,obsoletes,77,24,55,2,0.714300
470,2048,4288,obsoletes,166,81,87,2,0.524100
471,2048,4289,obsoletes,94,81,13,0,0.138300
472,3513,4291,obsoletes,278,62,221,5,0.795000
473,3168,4301,updates,425,165,289,29,0.680000
474,2401,4301,obsoletes,462,206,289,33,0.625500
475,2402,4302,obsoletes,217,100,122,5,0.562200
476,2406,4303,obsoletes,303,121,192,10,0.633700
477,2402,4305,obsoletes,108,100,11,3,0.101900
478,2406,4305,obsoletes,129,121,11,3,0.085300
479,2407,4306,obsoletes,172,64,124,16,0.720900
480,2408,4306,obsoletes,154,41,124,11,0.805200
481,2409,4306,obsoletes,224,142,124,42,0.553600
482,2461,4311,updates,106,101,7,2,0.066000
483,3261,4320,updates,546,546,8,8,0.014700
484,3280,4325,updates,106,106,1,1,0.009400
485,3471,4328,updates,109,104,17,12,0.156000
486,1034,4343,updates,382,378,13,9,0.034000
487,1035,4343,updates,438,433,13,8,0.029700
488,2181,4343,updates,80,73,13,6,0.162500
489,2246,4346,obsoletes,247,178,106,37,0.429100
490,2131,4361,updates,193,191,13,11,0.067400
491,2132,4361,updates,99,93,13,7,0.131300
492,3315,4361,updates,218,214,13,9,0.059600
493,2547,4364,obsoletes,143,12,135,4,0.944100
494,4346,4366,updates,114,105,30,21,0.263200
495,3546,4366,obsoletes,38,11,30,3,0.789500
496,1122,4379,updates,308,256,57,5,0.185100
497,2717,4395,obsoletes,48,18,32,2,0.666700
498,2718,4395,obsoletes,40,9,32,1,0.800000
499,2476,4409,obsoletes,33,14,20,1,0.606100
