method,origin,horizon,actual,point,q0_01,q0_025,q0_05,q0_10,q0_15,q0_20,q0_25,q0_30,q0_35,q0_40,q0_45,q0_50,q0_55,q0_60,q0_65,q0_70,q0_75,q0_80,q0_85,q0_90,q0_95,q0_975,q0_99,cov_50,cov_80,cov_90,cov_95,wis,domain,series
conformal,193,2,0.0,3.0,-22.615384615384617,-22.615384615384617,-22.615384615384617,-22.615384615384617,-22.615384615384617,-22.615384615384617,-21.415384615384614,-21.415384615384614,-20.927884615384617,-20.215384615384615,-20.215384615384615,-17.815384615384616,-16.615384615384617,-13.742307692307694,-7.990384615384615,-3.663461538461527,1.3759615384615274,9.046153846153848,30.65480769230769,59.203846153846136,100.73365384615386,218.4721153846154,281.75741538461574,1,1,1,,108.42312703846153,flu,flu_11
empirical,193,4,7.0,3.0,-26.884615384615383,-26.884615384615383,-26.884615384615383,-26.884615384615383,-26.884615384615383,-26.884615384615383,-25.484615384615385,-25.484615384615385,-24.084615384615383,-24.084615384615383,-24.084615384615383,-21.284615384615385,-19.884615384615383,-17.084615384615383,-11.694615384615373,-5.744615384615393,0.06538461538461471,6.995384615384639,30.93538461538459,63.135384615384645,114.65538461538458,186.9303846153843,262.4953846153846,0,1,1,,164.59317499999997,flu,flu_11
conformal,193,4,7.0,3.0,-26.884615384615383,-26.884615384615383,-26.884615384615383,-26.884615384615383,-26.884615384615383,-26.884615384615383,-25.484615384615385,-25.484615384615385,-24.915865384615383,-24.084615384615383,-24.084615384615383,-21.284615384615385,-19.884615384615383,-16.53269230769231,-9.822115384615385,-4.774038461538448,1.1052884615384486,10.053846153846155,35.263942307692304,68.57115384615382,117.02259615384615,254.3841346153846,328.216984615385,0,1,1,,166.13835975,flu,flu_11
empirical,194,1,0.0,2.0,-21.470192307692308,-21.470192307692308,-21.470192307692308,-21.470192307692308,-21.470192307692308,-21.470192307692308,-20.370192307692307,-20.370192307692307,-19.27019230769231,-19.27019230769231,-19.27019230769231,-17.070192307692306,-15.970192307692308,-13.770192307692307,-9.535192307692297,-4.860192307692313,-0.295192307692306,5.1498076923077125,23.959807692307677,49.259807692307724,89.73980769230766,146.5273076923075,205.89980769230772,0,1,1,,100.97569519230768,flu,flu_11
conformal,194,1,0.0,2.0,-21.470192307692308,-21.470192307692308,-21.470192307692308,-21.470192307692308,-21.470192307692308,-21.470192307692308,-20.370192307692307,-20.370192307692307,-19.923317307692308,-19.27019230769231,-19.27019230769231,-17.070192307692306,-15.970192307692308,-13.336538461538463,-8.063942307692306,-4.097596153846141,0.5218749999999921,7.55288461538462,27.360817307692308,53.53076923076922,91.59975961538464,199.52668269230773,257.53820769230805,1,1,1,,102.71527029807692,flu,flu_11
empirical,194,2,0.0,2.0,-23.603846153846153,-23.603846153846153,-23.603846153846153,-23.603846153846153,-23.603846153846153,-23.603846153846153,-22.40384615384615,-22.40384615384615,-21.20384615384615,-21.20384615384615,-21.20384615384615,-18.803846153846152,-17.603846153846153,-15.20384615384615,-10.58384615384614,-5.483846153846159,-0.5038461538461516,5.436153846153868,25.95615384615383,53.556153846153876,97.71615384615382,159.6661538461536,224.43615384615384,0,1,1,,111.15530384615383,flu,flu_11
conformal,194,2,0.0,2.0,-23.603846153846153,-23.603846153846153,-23.603846153846153,-23.603846153846153,-23.603846153846153,-23.603846153846153,-22.40384615384615,-22.40384615384615,-21.916346153846153,-21.20384615384615,-21.20384615384615,-18.803846153846152,-17.603846153846153,-14.73076923076923,-8.97884615384615,-4.651923076923063,0.3874999999999915,8.057692307692312,29.666346153846153,58.2153846153846,99.74519230769232,217.48365384615386,280.7689538461542,1,1,1,,112.87120396153844,flu,flu_11
empirical,194,4,12.0,2.0,-27.87115384615384,-27.87115384615384,-27.87115384615384,-27.87115384615384,-27.87115384615384,-27.87115384615384,-26.471153846153843,-26.471153846153843,-25.07115384615384,-25.07115384615384,-25.07115384615384,-22.271153846153844,-20.87115384615384,-18.07115384615384,-12.681153846153832,-6.731153846153852,-0.9211538461538438,6.0088461538461795,29.94884615384613,62.148846153846186,113.66884615384612,185.94384615384587,261.50884615384615,0,1,1,,203.5056749999999,flu,flu_11
conformal,194,4,12.0,2.0,-27.87115384615384,-27.87115384615384,-27.87115384615384,-27.87115384615384,-27.87115384615384,-27.87115384615384,-26.471153846153843,-26.471153846153843,-25.90240384615384,-25.07115384615384,-25.07115384615384,-22.271153846153844,-20.87115384615384,-17.51923076923077,-10.808653846153844,-5.760576923076907,0.11874999999999014,9.067307692307697,34.277403846153845,67.58461538461536,116.0360576923077,253.39759615384614,327.2304461538466,0,1,1,,201.99701359615383,flu,flu_11
empirical,190,1,1.0,2.0,-24.241346153846155,-24.241346153846155,-24.241346153846155,-24.241346153846155,-24.241346153846155,-24.241346153846155,-24.241346153846155,-24.241346153846155,-23.141346153846154,-23.141346153846154,-22.756346153846152,-22.041346153846156,-19.841346153846153,-16.98134615384616,-13.241346153846154,-6.421346153846166,2.158653846153847,8.318653846153872,19.593653846153828,59.24865384615391,111.93865384615381,185.33615384615385,227.70265384615382,1,1,1,,127.1969351923077,flu,flu_10
